match_id,is_home,opponent,our_score,opponent_score,motm_first_name,motm_last_name,manager,event_id,match_time,minutes_played,result
0x425efdbbf0fa674e,False,R MADRID,1,0,Éder,Militão,DAVID,1357,1734876013,93,Galibiyet
0x425efdbbf0f9b777,True,R MADRID,3,2,Lamine,Yamal,CARLO ANCELOTTI,1357,1734875603,91,Galibiyet
0x425efdbbf0f906fd,False,R MADRID,0,2,Lamine,Yamal,ZIAD,1357,1734875190,90,Mağlubiyet
0x425efdbbf0f848ea,False,LEONES,3,1,Harry,Kane,LEO ABRIL,0,1734874740,97,Galibiyet
0x425efdbbf0bac368,False,HAPOEL TIRA,2,1,Vinícius,Júnior,MAJD MANSOR,0,1734821266,90,Galibiyet
0x425efdbbf0ba4058,True,NRBB 1946,3,0,Erling,Haaland,MCOO,0,1734820849,75,Galibiyet
0x425efdbbf0b9b0e0,True,MBONJO FC,2,5,Darwin,Núñez,JOHSON,0,1734820397,93,Mağlubiyet
0x425efdbbf0b91438,False,REAL MADRID,3,1,Jude,Bellingham,CARLO ANCELOT,0,1734819909,92,Galibiyet
0x64339065969357fd,False,R MADRID,4,2,Kylian,Mbappé,CHILL GUY,1357,1734645129,94,Galibiyet
0x643390659692bf47,False,LIVERPOOL,2,1,Luis,Díaz,OKAN BURUK,1357,1734644747,90,Galibiyet
0x6433906596922d44,True,R MADRID,2,1,Trent,Alexander-Arnold,WALID,1357,1734644386,92,Galibiyet
0x643390659691d198,False,R MADRID,1,2,Federico,Valverde,CARLO ANCHALLOTI,1357,1734644161,47,Mağlubiyet
0x64339065965ff28f,True,LIVERPOOL,2,0,Darwin,Núñez,SINANNN,1357,1734621468,93,Galibiyet
0x64339065965eb654,True,R MADRID,4,3,Mohamed,Salah,MUHAMMED,1357,1734620949,94,Galibiyet
0x6433906595fcfc2f,True,LUCHETTO,1,4,Victor,Osimhen,JHON,0,1734540796,80,Mağlubiyet
0x6433906595b67f3a,False,KYRGYZSTAN,2,3,Erling,Haaland,HABIBILLOH,0,1734473391,93,Mağlubiyet
0x6433906595675709,True,LIVERPOOL,2,1,John,Stones,DJEJD,0,1734435649,91,Galibiyet
0x643390659566af81,False,Dream FC,2,4,Dominik,Szoboszlai,RAFAL BRYCJOLSKI,0,1734435255,95,Mağlubiyet
0x6433906595669930,True,ALLAH MADRID FC,1,0,Erling,Haaland,AKUA KWAKU,0,1734435202,5,Galibiyet
0x643390659565f76e,False,Dream FC,1,4,Erling,Haaland,JAH SPIRO,0,1734434816,92,Mağlubiyet
0x6433906595652aad,True,BARCELONA,1,2,Ferran,Torres,YAHYA,1356,1734434326,91,Mağlubiyet
0x6433906595644296,True,R MADRID,0,2,Antonio,Rüdiger,MANAGER,1356,1734433766,91,Mağlubiyet
0x643390659563c18d,True,R MADRID,3,0,Frenkie,de Jong,CHIDI BOY,1356,1734433454,77,Galibiyet
0x6433906595632cda,False,MANCHESTER C,2,2,Kyle,Walker,MANAGER,1356,1734433091,92,Beraberlik
0x64339065950fe116,False,BARCELONA,2,1,Ronald,Araújo,XAVI,1356,1734373804,90,Galibiyet
0x6433906594f0b270,False,MANCHESTER C,3,2,Erling,Haaland,ASLBEK,1356,1734360385,88,Galibiyet
0x6433906594e2f9a1,True,R MADRID,3,4,Lamine,Yamal,KLOPP,1356,1734353874,93,Mağlubiyet
0x6433906594e22295,False,R MADRID,0,1,Dani,Olmo,XAYRABAT,1356,1734353458,68,Mağlubiyet
0x643390659460a4a6,False,R MADRID,0,2,Robert,Lewandowski,SHOHRUZBEKALIYEV,1356,1734273470,91,Mağlubiyet
0x6433906593d60507,True,TUZLA SPOR,2,3,Erling,Haaland,HUSEYIN,2,1734197107,92,Mağlubiyet
0x6433906593d44de6,False,TUZLA SPOR,3,3,,Ederson,HUSEYIN,2,1734196470,120,Beraberlik
0x6433906593742869,True,ATLETICO MADRID,0,4,Phil,Foden,TAMAKI,0,1734129311,82,Mağlubiyet
